irn,leaid,district,fb_create_date,fb_create_month,fb_create_year,
43620,3904362,"Bexley City SD, Franklin",18,2,2015,
46755,3904675,"Buckeye Valley Local SD, Delaware",24,9,2015,
43703,3904370,"Campbell City SD, Mahoning",2,11,2015,
46714,3904671,"Central Local SD, Defiance",22,12,2015,
50138,3905013,"Champion Local SD, Trumbull",13,8,2015,
48132,3904813,"Clearview Local SD, Lorain",20,11,2015,
46391,3904639,"Clinton-Massie Local SD, Clinton",25,9,2015,
47548,3904754,"Conotton Valley Union Local, Harrison",11,6,2015,
49189,3904918,"Crestwood Local SD, Portage",20,3,2015,
47688,3904768,"East Holmes Local SD, Holmes",21,12,2015,
47621,3904762,"Fairfield Local SD, Highland",22,12,2015,
49197,3904919,"Field Local SD, Portage",22,4,2015,
49619,3904961,"Green Local SD, Scioto",31,7,2015,
50559,3905055,"Green Local SD, Wayne",9,6,2015,
48496,3904849,"Highland Local SD, Medina",10,7,2015,
47985,3904798,"Johnstown-Monroe Local SD, Licking",10,7,2015,
47191,3904719,"Kenston Local SD, Geauga",15,7,2015,
49353,3904935,"Leipsic Local SD, Putnam",13,5,2015,
47449,3904744,"Liberty Benton Local SD, Hancock",6,9,2015,
44230,3904423,"Lockland City SD, Hamilton",15,4,2015,
48272,3904827,"Madison-Plains Local SD, Madison",2,9,2015,
45831,3904583,"Mapleton Local SD, Ashland",24,1,2015,
44321,3910019,"Marietta City SD, Washington",4,8,2015,
49882,3904988,"Marlington Local SD, Stark",21,9,2015,
50633,3905063,"Millcreek-West Unity Local S, Williams",22,9,2015,
46995,3904699,"New Albany-Plain Local SD, Franklin",21,12,2015,
46250,3904625,"Northeastern Local SD, Clark",16,11,2015,
44610,3904461,"Orrville City SD, Wayne",10,7,2015,
49510,3904951,"Paint Valley Local SD, Ross",13,8,2015,
48421,3904842,"Pleasant Local SD, Marion",22,8,2015,
44685,3904468,"Ravenna City SD, Portage",1,9,2015,
45591,3910028,"Rittman Ex Vill SD, Wayne",22,12,2015,
47738,3904773,"South Central Local SD, Huron",24,3,2015,
47381,3904738,"Southwest Local SD, Hamilton",5,3,2015,
49239,3904923,"Streetsboro City SD, Portage",2,10,2015,
46201,3904620,"Triad Local SD, Champaign",21,7,2015,
45054,3904505,"West Carrollton City SD, Montgomery",28,7,2015,
45674,3904567,"Yellow Springs Ex Vill SD, Greene",27,9,2015,
45906,3904590,"Alexander Local SD, Athens",1,12,2016,
48116,3904811,"Avon Local SD, Lorain",23,7,2016,
46425,3904642,"Beaver Local SD, Columbiana",4,7,2016,
50096,3905009,"Bloomfield-Mespo Local SD, Trumbull",12,1,2016,
47613,3904761,"Bright Local SD, Highland",30,11,2016,
43653,3904365,"Brooklyn City SD, Cuyahoga",8,1,2016,
47175,3904717,"Cardinal Local SD, Geauga",4,1,2016,
50542,3905054,"Dalton Local SD, Wayne",2,12,2016,
43927,3904392,"East Palestine City SD, Columbiana",14,3,2016,
47068,3904706,"Fayette Local SD, Fulton",27,6,2016,
